Katarzyna Skowrońska-Dolata magassága: 165, ütő posztban játszik, Olaszország lengyel nemzetiségű Imoco Volley csapatban
Agnieszka Bednarek-Kasza magassága: 178, sánc posztban játszik, Olaszország lengyel nemzetiségű AGIL Volley csapatban
Eleonora Dziękiewicz magassága: 178, sánc posztban játszik, Magyarország lengyel nemzetiségű Linemár Békéscsaba csapatban
Anna Werblińska magassága: 178, feladó posztban játszik, Magyarország lengyel nemzetiségű Fatum Nyíregyháza csapatban
Francesca Piccinini magassága: 182, ütő posztban játszik, Szerbia olasz nemzetiségű Partizan csapatban
Jaqueline Carvalho magassága: 183, ütő posztban játszik, Szerbia brazil nemzetiségű Crvena Zvezda csapatban
Yelizaveta Mammadova magassága: 184, fogató posztban játszik, Azerbajdzsán azer nemzetiségű Telekom Baku csapatban
Szpin Renáta magassága: 184, liberó posztban játszik, Azerbajdzsán magyar nemzetiségű Rabita Baku csapatban
Tanja Matic magassága: 184, fogató posztban játszik, Törökország szerb nemzetiségű Fenerbahçe Acibadem csapatban
Robin de Kruijf magassága: 184, ütő posztban játszik, Lengyelország holland nemzetiségű Asystel Novara csapatban
Bodnár Dorottya magassága: 184, ütő posztban játszik, Olaszország magyar nemzetiségű Imoco Volley csapatban
Malgorzata Glinka-Mogentale magassága: 185, ütő posztban játszik, Olaszország lengyel nemzetiségű AGIL Volley csapatban
Martina Guiggi magassága: 185, sánc posztban játszik, Magyarország olasz nemzetiségű Linemár Békéscsaba csapatban
Jovana Brakocevic magassága: 185, ütő posztban játszik, Magyarország szerb nemzetiségű Fatum Nyíregyháza csapatban
Milena Rašic magassága: 185, sánc posztban játszik, Szerbia szerb nemzetiségű Partizan csapatban
Ivana Đerisilo magassága: 186, ütő posztban játszik, Szerbia szerb nemzetiségű Crvena Zvezda csapatban
Yekaterina Gamova magassága: 186, ütő posztban játszik, Azerbajdzsán orosz nemzetiségű Telekom Baku csapatban
Logan Tom magassága: 186, ütő posztban játszik, Azerbajdzsán amerikai nemzetiségű Rabita Baku csapatban
Marianne Steinbrecher magassága: 186, ütő posztban játszik, Törökország brazil nemzetiségű Fenerbahçe Acibadem csapatban
