Lioubov Sokolova Kiliç magassága: 187, ütő posztban játszik, Lengyelország orosz nemzetiségű Asystel Novara csapatban
Tálas Zsuzsanna magassága: 188, feladó posztban játszik, Szerbia magyar nemzetiségű Partizan csapatban
Gabrielle Reece magassága: 188, ütő posztban játszik, Szerbia amerikai nemzetiségű Crvena Zvezda csapatban
Thaísa Menezes magassága: 189, ütő posztban játszik, Magyarország brazil nemzetiségű Fatum Nyíregyháza csapatban
Gözde Kirdar Sonsirma magassága: 191, fogató posztban játszik, Azerbajdzsán török nemzetiségű Telekom Baku csapatban
Tandara Caixeta magassága: 191, fogató posztban játszik, Magyarország brazil nemzetiségű Linemár Békéscsaba csapatban
Neslihan Demir magassága: 191, fogató posztban játszik, Azerbajdzsán török nemzetiségű Rabita Baku csapatban
Cristina Chirichella magassága: 191, ütő posztban játszik, Olaszország olasz nemzetiségű AGIL Volley csapatban
Debby Stam-Pilon magassága: 192, sánc posztban játszik, Törökország holland nemzetiségű Fenerbahçe Acibadem csapatban
Naz Aydemir magassága: 193, fogató posztban játszik, Olaszország török nemzetiségű Imoco Volley csapatban
Sabina Altynbekova magassága: 193, fogató posztban játszik, Lengyelország azer nemzetiségű Asystel Novara csapatban
Charlotte Leys magassága: 195, fogató posztban játszik, Törökország belga nemzetiségű Besiktas csapatban
Lise Van Hecke magassága: 196, fogató posztban játszik, Törökország belga nemzetiségű Besiktas csapatban
Anja Spasojevic magassága: 196, fogató posztban játszik, Törökország szerb nemzetiségű Besiktas csapatban
Nikola Radosová magassága: 202, ütő posztban játszik, Magyarország szlovák nemzetiségű FATUM Nyíregyháza csapatban
