Katarzyna Skowrońska-Dolata magassága: 189, ütő posztban játszik, Olaszország lengyel nemzetiségű Imoco Volley csapatban
Francesca Piccinini magassága: 184, ütő posztban játszik, Szerbia olasz nemzetiségű Partizan csapatban
Jaqueline Carvalho magassága: 186, ütő posztban játszik, Szerbia brazil nemzetiségű Crvena Zvezda csapatban
Robin de Kruijf magassága: 193, ütő posztban játszik, Lengyelország holland nemzetiségű Asystel Novara csapatban
Bodnár Dorottya magassága: 185, ütő posztban játszik, Olaszország magyar nemzetiségű Imoco Volley csapatban
Malgorzata Glinka-Mogentale magassága: 191, ütő posztban játszik, Olaszország lengyel nemzetiségű AGIL Volley csapatban
Jovana Brakocevic magassága: 196, ütő posztban játszik, Magyarország szerb nemzetiségű Fatum Nyíregyháza csapatban
Ivana Đerisilo magassága: 185, ütő posztban játszik, Szerbia szerb nemzetiségű Crvena Zvezda csapatban
Yekaterina Gamova magassága: 202, ütő posztban játszik, Azerbajdzsán orosz nemzetiségű Telekom Baku csapatban
Logan Tom magassága: 186, ütő posztban játszik, Azerbajdzsán amerikai nemzetiségű Rabita Baku csapatban
Marianne Steinbrecher magassága: 188, ütő posztban játszik, Törökország brazil nemzetiségű Fenerbahçe Acibadem csapatban
Lioubov Sokolova Kiliç magassága: 192, ütő posztban játszik, Lengyelország orosz nemzetiségű Asystel Novara csapatban
Gabrielle Reece magassága: 191, ütő posztban játszik, Szerbia amerikai nemzetiségű Crvena Zvezda csapatban
Thaísa Menezes magassága: 196, ütő posztban játszik, Magyarország brazil nemzetiségű Fatum Nyíregyháza csapatban
Cristina Chirichella magassága: 195, ütő posztban játszik, Olaszország olasz nemzetiségű AGIL Volley csapatban
Nikola Radosová magassága: 186, ütő posztban játszik, Magyarország szlovák nemzetiségű FATUM Nyíregyháza csapatban
